n_trades,sharpe,total_return_pct,win_rate,profit_factor,max_drawdown_pct,avg_trade_pct,exposure,avg_bars,pair,tf,strategy,cost,period_start,period_end,bars,oos
355,-0.303,-12.23,49.9,0.88,-17.08,-0.035,78.4,5.7,EURJPY,D1,cpi-surprise-momentum,strict,2016-08-04,2026-08-05,2602,all
355,-0.188,-7.83,51.5,0.92,-12.59,-0.021,78.5,5.8,EURUSD,D1,cpi-surprise-momentum,strict,2016-08-04,2026-08-05,2601,all
245,-0.466,-15.02,46.9,0.77,-16.96,-0.065,54.7,5.8,GBPJPY,D1,cpi-surprise-momentum,strict,2016-08-04,2026-08-05,2602,all
245,-0.3,-10.28,48.2,0.85,-13.78,-0.042,54.4,5.8,GBPUSD,D1,cpi-surprise-momentum,strict,2016-08-04,2026-08-05,2601,all
96,-0.339,-7.44,49.0,0.73,-12.08,-0.078,21.2,5.8,NZDUSD,D1,cpi-surprise-momentum,strict,2016-08-04,2026-08-05,2601,all
354,-0.497,-18.94,49.7,0.81,-20.12,-0.057,77.0,5.7,USDCAD,D1,cpi-surprise-momentum,strict,2016-08-04,2026-08-05,2601,all
352,0.257,9.9,51.4,1.12,-7.5,0.029,78.9,5.8,USDCHF,D1,cpi-surprise-momentum,strict,2016-08-04,2026-08-05,2601,all
353,-0.222,-9.47,48.4,0.91,-13.96,-0.026,78.0,5.7,USDJPY,D1,cpi-surprise-momentum,strict,2016-08-04,2026-08-05,2601,all
54,-0.29,-7.55,29.6,0.71,-10.2,-0.14,70.0,33.7,AUDJPY,D1,yield-spread-divergence,strict,2016-08-04,2026-08-05,2603,all
51,-0.513,-12.47,25.5,0.52,-18.36,-0.256,66.8,34.1,AUDUSD,D1,yield-spread-divergence,strict,2016-08-04,2026-08-05,2601,all
58,-0.114,-2.54,39.7,0.89,-12.38,-0.041,55.9,25.1,EURCHF,D1,yield-spread-divergence,strict,2016-08-04,2026-08-05,2602,all
54,-0.212,-6.02,35.2,0.71,-12.73,-0.112,75.7,36.5,EURGBP,D1,yield-spread-divergence,strict,2016-08-04,2026-08-05,2602,all
55,-0.249,-6.38,34.5,0.73,-11.4,-0.116,69.7,33.0,EURJPY,D1,yield-spread-divergence,strict,2016-08-04,2026-08-05,2602,all
41,0.108,2.5,48.8,1.18,-9.67,0.066,77.2,49.0,EURUSD,D1,yield-spread-divergence,strict,2016-08-04,2026-08-05,2601,all
50,-0.326,-8.07,34.0,0.63,-11.89,-0.164,69.2,36.0,GBPJPY,D1,yield-spread-divergence,strict,2016-08-04,2026-08-05,2602,all
54,-0.253,-6.3,35.2,0.74,-11.77,-0.116,72.4,34.9,GBPUSD,D1,yield-spread-divergence,strict,2016-08-04,2026-08-05,2601,all
62,-0.576,-13.18,29.0,0.54,-18.69,-0.224,69.6,29.2,NZDUSD,D1,yield-spread-divergence,strict,2016-08-04,2026-08-05,2601,all
52,-0.423,-11.03,30.8,0.54,-14.56,-0.221,70.4,35.2,USDCAD,D1,yield-spread-divergence,strict,2016-08-04,2026-08-05,2601,all
55,-0.224,-5.17,36.4,0.8,-12.91,-0.092,60.4,28.5,USDCHF,D1,yield-spread-divergence,strict,2016-08-04,2026-08-05,2601,all
49,0.08,2.01,34.7,1.11,-7.21,0.051,79.2,42.0,USDJPY,D1,yield-spread-divergence,strict,2016-08-04,2026-08-05,2601,all
