kind,key,commodity,months,label,mechanism,source,direction,sel_n,sel_mean,sel_t,n_hold,ho_mean,ho_t,win,p_mc,ho_h1,ho_h2,t212,net_mean_8%,net_t_8%,win_8%,net_mean_15%,net_t_15%,win_15%,net_mean_25%,net_t_25%,win_25%
grid,ZS_8-8,ZS,08-08,ZS 08,single-month grid,grid,-1,14,-0.012451660613900462,-0.6648346092508942,12,0.014501510369260532,0.8821389989469881,0.6666666666666666,0.01098901098901099,0.019226210210346262,0.009776810528174796,Y,0.02033484370259387,1.2369855422490266,0.6666666666666666,0.014501510369260532,0.8821389989469881,0.6666666666666666,0.006168177035927198,0.375215365658362,0.6666666666666666
grid,RB_4-4,RB,04-04,RB 04,single-month grid,grid,1,14,0.03110866841566476,1.1690866826970647,12,0.024544024866209598,0.8657729233550375,0.6666666666666666,0.0959040959040959,0.059761153702905113,-0.01067310397048593,Y,0.03037735819954293,1.071539584708829,0.6666666666666666,0.024544024866209598,0.8657729233550375,0.6666666666666666,0.01621069153287626,0.5718205499924782,0.6666666666666666
grid,LE_5-5,LE,05-05,LE 05,single-month grid,grid,-1,14,-0.03576966495104771,-2.4526893523426962,12,0.01743071494361677,0.8633041697309185,0.5833333333333334,0.001998001998001998,0.03232039693743117,0.0025410329498023825,Y,0.0232640482769501,1.1522160707279119,0.5833333333333334,0.01743071494361677,0.8633041697309185,0.5833333333333334,0.009097381610283442,0.4505728825923565,0.5
named,LE_5-5,LE,05-05,Cattle May,prior-study claim (SHORT),ATLAS prior study,-1,14,-0.03576966495104771,-2.4526893523426962,12,0.01743071494361677,0.8633041697309185,0.5833333333333334,0.002997002997002997,0.03232039693743117,0.0025410329498023825,Y,0.0232640482769501,1.1522160707279119,0.5833333333333334,0.01743071494361677,0.8633041697309185,0.5833333333333334,0.009097381610283442,0.4505728825923565,0.5
grid,PA_5-5,PA,05-05,PA 05,single-month grid,grid,-1,13,-0.02172621860789072,-0.8394112693588955,12,0.015039703437315559,0.8164842956188024,0.5833333333333334,0.03396603396603397,-0.008839840998890581,0.038919247873521697,?,0.020873036770648886,1.1331677380568443,0.5833333333333334,0.015039703437315559,0.8164842956188024,0.5833333333333334,0.006706370103982218,0.3640793778501703,0.5
grid,CC_4-4,CC,04-04,CC 04,single-month grid,grid,1,15,0.009884776723960898,0.40159118191049903,12,0.01616853376607993,0.7871537364032839,0.75,0.07792207792207792,0.013780092263369353,0.01855697526879051,?,0.022001867099413264,1.0711454820649824,0.75,0.01616853376607993,0.7871537364032839,0.75,0.0078352004327466,0.38145124260085755,0.5833333333333334
grid,NG_1-1,NG,01-01,NG 01,single-month grid,grid,-1,14,-0.06700161279048834,-1.2611863208185439,12,0.04389448690127055,0.7717185381631088,0.5833333333333334,0.03996003996003996,0.04759494051574217,0.040194033286798915,?,0.04972782023460387,0.8742756424924869,0.5833333333333334,0.04389448690127055,0.7717185381631088,0.5833333333333334,0.03556115356793721,0.6252083891211396,0.5833333333333334
grid,LB_11-11,LB,11-11,LB 11,single-month grid,grid,1,15,0.06125254473975635,3.043492882937382,8,0.03841668406871041,0.7341134136012788,0.625,0.1068931068931069,-0.026799238597191896,0.10363260673461272,?,0.04425001740204374,0.8455839465173492,0.625,0.03841668406871041,0.7341134136012788,0.625,0.03008335073537708,0.5748697951497499,0.5
grid,KC_11-11,KC,11-11,KC 11,single-month grid,grid,1,15,0.015044688966906297,0.7246406465258888,11,0.02650133259670123,0.7222630812728495,0.5454545454545454,0.028971028971028972,-0.04413758079879011,0.08536709375961067,?,0.03233466593003456,0.8812438152435403,0.5454545454545454,0.02650133259670123,0.7222630812728495,0.5454545454545454,0.018167999263367905,0.4951477470290057,0.5454545454545454
grid,ZW_12-12,ZW,12-12,ZW 12,single-month grid,grid,1,15,0.021332827767964038,0.8922759588620073,11,0.009983859785477115,0.7220555938790594,0.6363636363636364,0.07792207792207792,0.005309919221285514,0.01387881025563678,Y,0.015817193118810448,1.143935613710811,0.7272727272727273,0.009983859785477115,0.7220555938790594,0.6363636363636364,0.0016505264521437827,0.11936985126227138,0.45454545454545453
grid,SI_12-12,SI,12-12,SI 12,single-month grid,grid,1,15,7.349187984690066e-05,0.003032390452821243,11,0.019219859689302735,0.7181151231908449,0.5454545454545454,0.058941058941058944,-0.001127846127608649,0.03617628120339556,?,0.025053193022636065,0.936067020498993,0.6363636363636364,0.019219859689302735,0.7181151231908449,0.5454545454545454,0.010886526355969406,0.4067552698934903,0.5454545454545454
grid,ZM_10-10,ZM,10-10,ZM 10,single-month grid,grid,1,15,0.049144035300167345,2.0568701378492036,11,0.01838370719745226,0.6995015948602966,0.5454545454545454,0.030969030969030968,-0.0071754397021644295,0.03968299628046617,N,0.02421704053078559,0.921460415580847,0.6363636363636364,0.01838370719745226,0.6995015948602966,0.5454545454545454,0.010050373864118927,0.3824175652595105,0.45454545454545453
grid,RB_11-11,RB,11-11,RB 11,single-month grid,grid,-1,14,-0.03341879820320125,-1.1824869632387487,11,0.023238099934919567,0.6984164886487522,0.6363636363636364,0.09490509490509491,0.025719930233643308,0.021169908019316452,Y,0.029071433268252896,0.8737361660403749,0.7272727272727273,0.023238099934919567,0.6984164886487522,0.6363636363636364,0.014904766601586229,0.44795980666071955,0.36363636363636365
grid,NG_4-4,NG,04-04,NG 04,single-month grid,grid,1,14,0.013267727172535385,0.5569202048566516,12,0.022921100613454665,0.6672011572259121,0.5833333333333334,0.12387612387612387,0.02351163097819997,0.022330570248709367,?,0.028754433946787995,0.8370013259054161,0.6666666666666666,0.022921100613454665,0.6672011572259121,0.5833333333333334,0.014587767280121337,0.4246294876837635,0.5833333333333334
grid,NG_10-10,NG,10-10,NG 10,single-month grid,grid,1,15,0.06473731940279923,1.6093268745460587,11,0.024850694359010495,0.6093740473060638,0.5454545454545454,0.13586413586413587,-0.006096199739993968,0.05063977277484755,?,0.030684027692343827,0.7524156014479839,0.5454545454545454,0.024850694359010495,0.6093740473060638,0.5454545454545454,0.016517361025677163,0.40502896996046395,0.5454545454545454
grid,OJ_5-5,OJ,05-05,OJ 05,single-month grid,grid,1,13,0.003251458304477521,0.12247536688746123,12,0.016814185729617803,0.5877728050764988,0.75,0.03996003996003996,0.026489089792940415,0.0071392816662951926,?,0.022647519062951135,0.7916884005989179,0.75,0.016814185729617803,0.5877728050764988,0.75,0.008480852396284473,0.29646481147304293,0.5833333333333334
grid,SB_10-10,SB,10-10,SB 10,single-month grid,grid,1,15,0.020219554946652736,1.5633965607422213,11,0.017738574983006218,0.5837600738033636,0.5454545454545454,0.030969030969030968,0.07541338900911712,-0.030323770038752862,Y,0.023571908316339554,0.7757296711610194,0.5454545454545454,0.017738574983006218,0.5837600738033636,0.5454545454545454,0.009405241649672887,0.30951779186385553,0.45454545454545453
grid,SI_1-1,SI,01-01,SI 01,single-month grid,grid,1,14,0.034805854275659805,1.6391525451760203,12,0.00884224544584377,0.5691853510360614,0.5,0.12187812187812187,0.01917611589517443,-0.0014916250034868901,?,0.014675578779177098,0.9446836225304749,0.5,0.00884224544584377,0.5691853510360614,0.5,0.0005089121125104375,0.032759248901184014,0.4166666666666667
grid,LB_12-12,LB,12-12,LB 12,single-month grid,grid,1,15,0.0029869105561030947,0.1055924642586716,8,0.033336387398871126,0.5622709297567935,0.5,0.13386613386613386,-0.01684528915173522,0.08351806394947744,?,0.03916972073220444,0.6606593279257471,0.5,0.033336387398871126,0.5622709297567935,0.5,0.02500305406553778,0.4217160752297163,0.5
grid,ZW_11-11,ZW,11-11,ZW 11,single-month grid,grid,-1,15,-0.0018293077183125347,-0.09771682757644393,11,0.011141912828415925,0.5559786171814214,0.5454545454545454,0.09090909090909091,0.0064342715881519795,0.015064947195302547,Y,0.016975246161749263,0.8470604673242085,0.5454545454545454,0.011141912828415925,0.5559786171814214,0.5454545454545454,0.002808579495082595,0.14014740269172615,0.45454545454545453
grid,RB_2-2,RB,02-02,RB 02,single-month grid,grid,1,14,0.03472000135559537,1.4816848536078016,12,0.016898772715901577,0.5515744265861882,0.5,0.15384615384615385,0.006370332113179535,0.027427213318623616,Y,0.022732106049234913,0.7419739036672535,0.5,0.016898772715901577,0.5515744265861882,0.5,0.008565439382568237,0.2795751736132378,0.5
grid,RB_3-3,RB,03-03,RB 03,single-month grid,grid,1,14,0.12457478197720892,4.027893461027388,12,0.04870696755575348,0.5161425138548816,0.8333333333333334,0.026973026973026972,-0.05452888924234076,0.1519428243538477,Y,0.05454030088908681,0.577957721861287,0.8333333333333334,0.04870696755575348,0.5161425138548816,0.8333333333333334,0.04037363422242013,0.4278350738457308,0.8333333333333334
grid,HO_11-11,HO,11-11,HO 11,single-month grid,grid,-1,15,-0.009509436888069633,-0.4231228464454099,11,0.020101837896087132,0.5119864561771527,0.5454545454545454,0.07292707292707293,0.022322647165561944,0.018251163504858132,?,0.025935171229420472,0.6605593218261557,0.5454545454545454,0.020101837896087132,0.5119864561771527,0.5454545454545454,0.011768504562753811,0.2997395052500058,0.5454545454545454
named,GF_5-5,GF,05-05,Feeder Cattle May,prior-study claim (LONG),ATLAS prior study,1,14,0.03473631829966504,2.683870071695088,12,0.008982570328348547,0.481621993526394,0.5833333333333334,0.000999000999000999,0.0009658295349194943,0.0169993111217776,N,0.014815903661681873,0.7943901129183948,0.5833333333333334,0.008982570328348547,0.481621993526394,0.5833333333333334,0.0006492369950152066,0.03481039439496346,0.5833333333333334
grid,GF_5-5,GF,05-05,GF 05,single-month grid,grid,1,14,0.03473631829966504,2.683870071695088,12,0.008982570328348547,0.481621993526394,0.5833333333333334,0.000999000999000999,0.0009658295349194943,0.0169993111217776,N,0.014815903661681873,0.7943901129183948,0.5833333333333334,0.008982570328348547,0.481621993526394,0.5833333333333334,0.0006492369950152066,0.03481039439496346,0.5833333333333334
